"organization_type_choice","country","current_position_choice","years_research_exp","years_program_exp","gender","research_area","program_freq","peer_review","program_lang_choice","code_publishing","code_reuse_inner","code_reuse_outer","devel_practices","devel_practices_freq_version","devel_practices_freq_review","devel_practices_freq_ci","devel_practices_freq_unit","devel_practices_freq_regression","devel_practices_freq_system","code_reviewer_choice","genai_tool_exp_choice","genai_tool_freq","genai_primary_tool_choice","genai_access_mode_choice","genai_lines_accepted","space_s1","space_p1","space_p2","space_a1","space_c1","space_c2","space_e1","space_e2","space_global"
"Higher education","United States of America","Post-doctoral researcher",1,0,"Man","Engineering","Monthly","Yes","R","Most of the time","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Most of the time","ChatGPT","Through a web browser","10-50 lines","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",19,25,"Man","Computer and information services","Daily","Yes","Python,Rust,Bash,Other","Always","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Always","Most of the time","Most of the time","Sometimes","Always","A peer in your research group","ChatGPT,GitHub Copilot,Google Gemini,Cursor","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",7,2,"Man","Physical sciences","Weekly","Yes","Python,R,MATLAB","Always","Always","Sometimes","Code review",NA,"Always",NA,NA,NA,NA,"A peer in your research group","ChatGPT,A custom tool provided by organization","Most of the time","A custom tool provided by organization","Through a web browser","1-5 lines","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",9,NA,"Man","Engineering","Weekly","Yes","Python,R,Stata","Never","Sometimes","Never","Code testing,Code review",NA,"Sometimes",NA,"About half the time","Most of the time","Never","A supervisor","ChatGPT","Sometimes","ChatGPT","Through a web browser","10-50 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree"
"Higher education","United States of America","Research staff",22,2,"Woman","Life sciences","Less than once a month","Yes","MATLAB","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"A custom tool provided by organization","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",20,25,"Man","Engineering","Weekly","Yes","Python,C,C++,FORTRAN,Bash","Never","About half the time","Most of the time","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree"
"Higher education","United States of America","Research staff",15,10,"Woman","Life sciences","Monthly","Yes","R,Bash","Most of the time","Most of the time","Never","Version control","Sometimes",NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",2,4,"Woman","Engineering","Weekly","Yes","Python,R,C++","Most of the time","Always","Sometimes","Version control,Code testing,Continuous integration","Always",NA,"Most of the time","Never","Always","Always",NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research software engineer",2,4,"Man","Engineering","Daily","Yes","Python,C,C++,MATLAB","Sometimes","Sometimes","Sometimes","Code testing,Code review,Continuous integration",NA,"Most of the time","Most of the time","Most of the time","About half the time","About half the time","A supervisor","ChatGPT,Perplexity","Most of the time","ChatGPT","Through a web browser","10-50 lines","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Faculty",18,25,"Man","Life sciences","Daily","Yes","Python,MATLAB","Always","Always","Sometimes","Version control","Always",NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Neither agree nor disagree",NA,"Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",8,1,"Woman","Life sciences","Less than once a month","Yes","R","Always","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",10,20,"Man","Life sciences","Weekly","Yes","Python,MATLAB","Most of the time","Most of the time","Sometimes","Version control","Sometimes",NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","10-50 lines","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",6,1,"Woman","Life sciences","Less than once a month","Yes","R,MATLAB","Most of the time","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"Perplexity","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",3,13,"Man","Life sciences","Daily","Yes","Python,R,JavaScript,Other","Always","Sometimes","About half the time","Version control,Code testing,Code review,Continuous integration","Most of the time","About half the time","About half the time","Sometimes","Never","Never",NA,"ChatGPT,Google Gemini,Cursor,Claude","Most of the time","ChatGPT","Through a web browser","10-50 lines","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Student research assistant",4,9,"Man","Computer and information services","Daily","Yes","Python,C++,JavaScript","About half the time","Most of the time","About half the time","Version control,Code testing,Code review","Always","Sometimes",NA,"Sometimes","Sometimes","Always","A supervisor","ChatGPT,GitHub Copilot,Cursor,Claude Code","Always","Claude Code","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","10-50 lines","Somewhat disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat disagree"
"Higher education","United States of America","Student research assistant",1,5,"Man","Engineering","Less than once a month","Yes","R,MATLAB","Sometimes","Sometimes","Never","Version control,Code testing,Code review,Continuous integration","Always","About half the time","Sometimes","About half the time","Sometimes","Sometimes",NA,"ChatGPT,A custom tool provided by organization,GitHub Copilot,Google Gemini,Claude,Microsoft Copilot","Sometimes","Google Gemini","Through a web browser","10-50 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",1,2,"Man","Engineering","Weekly","I'm not sure","C,C++,MATLAB","Never","Sometimes","Never","Version control,Code testing,Code review,Continuous integration","Sometimes","Never","Never","Sometimes","Sometimes","Sometimes",NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","I don't use genAI to produce code suggestions directly","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"Higher education","United States of America","Faculty",10,10,"Woman","Other","Weekly","Yes","Python,Other","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",1,5,"Man","Engineering","Daily","Yes","Python,R","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","About half the time","ChatGPT","Through a web browser","I don't use genAI to produce code suggestions directly","Strongly agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",5,2,"Woman","Engineering","Less than once a month","Yes","Python,MATLAB","Sometimes","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,GitHub Copilot","Sometimes","ChatGPT","With a desktop app","I don't use genAI to produce code suggestions directly","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",3,6,"Woman","Social sciences","Weekly","Yes","R,Stata","Always","Most of the time","About half the time","Version control,Code testing,Code review","Sometimes","Always",NA,"Sometimes","Sometimes","Sometimes","A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","5-10 lines","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",8,8,"Woman","Life sciences","Less than once a month","Yes","Python,MATLAB","Always","Always","Sometimes","Code testing,Code review,Continuous integration",NA,"About half the time","Always","Never","Sometimes","Never",NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",16,18,"Non-binary / gender-diverse","Mathematics and statistics","Weekly","Yes","Python,R,C++,Bash","Always","Always","Most of the time","Version control,Code testing,Code review","Always","Most of the time",NA,"About half the time","Never","Never","A peer in your research group","ChatGPT,A custom tool provided by organization,GitHub Copilot","Sometimes","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","5-10 lines","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",4,3,"Woman","Geosciences, atmospheric sciences & ocean sciences","Weekly","Yes","R","Most of the time","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,GitHub Copilot","About half the time","ChatGPT","Through a web browser","<1 line","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",2,0.5,"Woman","Geosciences, atmospheric sciences & ocean sciences","Weekly","Yes","Python,R,Bash","Always","About half the time","Never","Version control,Code testing,Code review,Continuous integration","Always","Always","Never","Never","Never","Never","A supervisor","ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree"
"Higher education","United States of America","Student research assistant",4,8,"Man","Engineering","Daily","Yes","Python,MATLAB","Always","Always","Most of the time","Version control,Code testing,Code review","Always","Always",NA,"Most of the time","Most of the time","Most of the time","A peer in your research group","ChatGPT,GitHub Copilot","Sometimes","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","<1 line","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree"
